Predicted Price,Actual Price,Error
7268000.0,7200000,68000.0
8596666.666666666,8500000,96666.66666666605
7705750.0,7400000,305750.0
8749800.0,8600000,149800.0
8305844.444444444,8300000,5844.4444444440305
8535557.142857142,8500000,35557.14285714179
8472700.0,8600000,-127300.0
8065166.666666666,8000000,65166.666666666046
8354500.0,8400000,-45500.0
7636350.0,7650000,-13650.0
7128000.0,7100000,28000.0
8201222.222222222,8200000,1222.2222222220153
6738000.0,6600000,138000.0
8212000.0,8200000,12000.0
8120500.0,8200000,-79500.0
7376000.0,7400000,-24000.0
8392880.952380951,8350000,42880.952380951494
7853000.0,7850000,3000.0
8122000.0,8200000,-78000.0
7786000.0,7800000,-14000.0
8646016.666666666,8800000,-153983.33333333395
8409000.0,8450000,-41000.0
8392880.952380951,8400000,-7119.047619048506
8275782.53968254,8250000,25782.53968254011
8062000.0,8000000,62000.0
10124000.0,10150000,-26000.0
8027000.0,8000000,27000.0
8245000.0,8200000,45000.0
9174666.666666666,8950000,224666.66666666605
10073104.761904761,10200000,-126895.2380952388
8095000.0,8100000,-5000.0
8665666.666666666,8700000,-34333.333333333954
8272666.666666666,8200000,72666.66666666605
8517100.0,8600000,-82900.0
8085000.0,8100000,-15000.0
8274000.0,8300000,-26000.0
8108000.0,8100000,8000.0
8281000.0,8250000,31000.0
8574750.0,8500000,74750.0
9160785.714285713,8700000,460785.7142857127
8210400.0,8200000,10400.0
8685066.666666666,8800000,-114933.33333333395
9965071.42857143,10100000,-134928.5714285709
8109500.0,8000000,109500.0
8158566.666666666,8200000,-41433.333333333954
8546000.0,8600000,-54000.0
8303383.333333334,8300000,3383.333333333954
9061333.333333334,9000000,61333.333333333954
8139188.88888889,8100000,39188.888888889924
8013000.0,8000000,13000.0
9698071.428571427,9750000,-51928.57142857276
8317000.0,8400000,-83000.0
8384000.0,8400000,-16000.0
7000666.666666666,7000000,666.6666666660458
8728299.999999998,8700000,28299.999999998137
8526097.619047618,8550000,-23902.38095238246
8903300.0,8950000,-46700.0
8666333.333333332,8700000,-33666.66666666791
8936128.57142857,8900000,36128.5714285709
7888000.0,7900000,-12000.0
8752666.666666668,8600000,152666.6666666679
10073104.761904761,10000000,73104.7619047612
8041000.0,8100000,-59000.0
7122000.0,7000000,122000.0
7988000.0,8000000,-12000.0
8181000.0,8100000,81000.0
8304000.0,8150000,154000.0
7920883.333333335,7900000,20883.333333334886
8243500.0,8400000,-156500.0
9607000.0,9650000,-43000.0
8128500.0,8150000,-21500.0
8588000.0,8600000,-12000.0
6842000.0,6800000,42000.0
8565200.0,8500000,65200.0
7763000.0,7700000,63000.0
7904500.0,7950000,-45500.0
10073104.761904761,10000000,73104.7619047612
8126000.0,8000000,126000.0
9574166.666666668,9550000,24166.66666666791
8332000.0,8400000,-68000.0
8559000.0,8600000,-41000.0
7474566.666666666,7500000,-25433.333333333954
8375033.333333332,8500000,-124966.66666666791
